Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3970,Super Luxury (Non AC Seater 2+2 Push Back),22:05,07h 15m,05:20,4.0,INR 488,18 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35118,INDRA(A.C. Seater),22:05,06h 45m,04:50,3.9,INR 528,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,04h 35m,02:50,3.5,INR 839,22 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),22:15,07h 15m,05:30,4.0,INR 565,22 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,06h 25m,04:40,3.9,INR 708,35 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3635,Super Luxury (Non AC Seater 2+2 Push Back),22:20,06h 35m,04:55,4.2,INR 436,17 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3943,Super Luxury (Non AC Seater 2+2 Push Back),22:25,07h 00m,05:25,3.6,INR 488,18 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35063,Super Luxury (Non AC Seater 2+2 Push Back),22:25,07h 45m,06:10,4.6,INR 488,29 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,05h 55m,04:25,4.4,INR 591,18 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,05h 40m,04:10,4.2,INR 670,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3910,INDRA(A.C. Seater),22:30,04h 35m,03:05,3.8,INR 567,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 95660,Super Luxury (Non AC Seater 2+2 Push Back),22:40,06h 35m,05:15,2.2,INR 446,28 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3509,INDRA(A.C. Seater),22:45,06h 14m,04:59,4.2,INR 567,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,05h 31m,04:16,4.0,INR 565,24 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3609,Super Luxury (Non AC Seater 2+2 Push Back),22:46,07h 54m,06:40,4.2,INR 488,22 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3968,INDRA(A.C. Seater),22:55,06h 10m,05:05,2.6,INR 590,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3961,INDRA(A.C. Seater),22:55,06h 30m,05:25,3.8,INR 551,21 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3694,Super Luxury (Non AC Seater 2+2 Push Back),22:55,07h 20m,06:15,4.6,INR 456,18 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,06h 40m,05:35,3.7,INR 666,29 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,04h 35m,03:35,4.2,INR 839,3 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3900,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05h 20m,04:20,4.3,INR 469,16 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3533,Super Luxury (Non AC Seater 2+2 Push Back),23:00,06h 10m,05:10,4.0,INR 436,30 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3569,INDRA(A.C. Seater),23:00,04h 46m,03:46,4.1,INR 567,30 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4893,Super Luxury (Non AC Seater 2+2 Push Back),23:00,06h 20m,05:20,4.3,INR 469,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3278,VENNELA (A.C. SLEEPER),23:05,05h 20m,04:25,3.9,INR 781,19 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4790,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:05,06h 15m,05:20,4.4,INR 720,35 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 2785,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05h 52m,05:07,2.7,INR 469,28 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4352,Super Luxury (Non AC Seater 2+2 Push Back),23:15,06h 15m,05:30,4.0,INR 469,18 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3976,Super Luxury (Non AC Seater 2+2 Push Back),23:15,06h 35m,05:50,2.4,INR 469,23 Seats available
